"","*** Alcohol Soft/DAEMON Tools ***"
"SysLib1","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"SysLog","*** UNKNOWN - PLEASE PULL BACK ***"
"sysmgmt","HP Proliant System Management Interace Driver"
"sysmon","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"SysPlant","!!! PSP: Symantec CMC Firewall !!!"
"system32:lzx32","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"syswpsvc","*** SIG5 - FOLLOW GUIDANCE ***"
"szfwfltdrv","SaferZone DefCon Pro Secure USB Driver"
"SZMCCD","SaferZone DefCon Pro Secure USB Driver"
"SZMCRMD","SaferZone DefCon Pro Secure USB Driver"
"SZNBDrvNT5","SaferZone DefCon Pro Secure USB Driver"
"SZOBFDrvNT5","SaferZone DefCon Pro Secure USB Driver"
"SZTnaruDrv","SaferZone DefCon Pro Secure USB Driver"
"TacV4Pci","*** UNKNOWN - PLEASE PULL BACK ***"
"tap0801","OpenVPN TAP-Win32 Virtual Network Driver"
"tap0801co","OpenVPN TAP-Win32 Virtual Network Driver"
"tap0901","OpenVPN TAP-Win32 Virtual Network Driver"
"TAPE","Mag Tape Driver"
"tapesmsg","*** UNKNOWN - PLEASE PULL BACK ***"
"taphss","Anchorfree HSS Adapter Driver"
"tapindis","*** JEALOUSFRUIT ***"
"tapoas","OpenVPN TAP-Win32 Adapter OAS Driver"
"tapvpn","OpenVPN TAP-Win32 Virtual Miniport Driver"
"TBiosDrv","TOSHIBA Logical Tbios Device Driver"
"TBPanel","Windows 2000 Display Control Panel"
"TBUPDDWD","Touch-Base Universal Pointer Device Driver (UPDD)"
"tcaicchg","3Com NIC Diagnostic Memory/Port Access Driver"
"TCAITDI","3Com NIC Diagnostic TDI Driver"
"TClass2k","Tablet Class Driver for Win2000/XP/Vista"
"tcphoc","*** Thunder Networking BHO/Download Manager/Adware ***"
"Tcpip","TCP/IP Protocol Driver"
"tcpip6","Microsoft IPv6 System Driver"
"tcpipreg","*** DS MENTAL *** -OR- Microsoft TCP/IP Reg Compat Driver"
"TCSafeBox","!!! PSP: Tencent QQ Computer Manager (QQDoctor) !!!"
"tcusb","UPEK TouchChip USB Kernel Driver"
"TDAUSBMU","Panasonic KX-TDA USB Main Unit Driver"
"tdcmdpst","TOSHIBA ODD Writing Driver"
"tddi","SafeNet China SoftDog Parallel 32-bit Driver"
"TDI","Microsoft TDI Wrapper Driver"
"tdip","*** DARKSKYLINE ***"
"TDMD","Microsoft Parallel Printer Driver"
"tdomnir","*** UNKNOWN - PLEASE PULL BACK ***"
"TDPIPE","Microsoft Named Pipe Transport Driver"
"tdrpm140","Acronis Try&Decide Volume Filter Driver"
"tdrpm147","Acronis Try&Decide Volume Filter Driver"
"tdrpm174","Acronis Try&Decide Volume Filter Driver"
"tdrpm228","Acronis Try&Decide Volume Filter Driver"
"tdrpm251","Acronis Try&Decide Volume Filter Driver"
"tdrpm258","Acronis Try&Decide Volume Filter Driver"
"tdrpm273","Acronis Try&Decide Volume Filter Driver"
"tdrpman","Acronis Try&Decide Volume Filter Driver"
"TDSMAPI","IBM ThinkPad Configuration Utility Driver"
"TDTCP","Microsoft TCP Transport Driver"
"tdudf","TOSHIBA Direct Disc Writer Driver"
"tdx","*** DS MENTAL *** -OR- Windows TDI Translation Driver"
"teamviewervpn","TeamViewerVPN Network Adapter Driver"
"TEchoCan","TOSHIBA Mic Effect Driver"
"Teefer","!!! PSP: Symantec EndPoint Protection !!!"
"teefer2","!!! PSP: Symantec EndPoint Protection !!!"
"teklynx1","Teklynx Label View Driver"
"TermDD","Terminal Device Driver"
"termsvdrv","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"TfFRegNt","!!! PSP: AhnLab V3 Internet Security !!!"
"tffsport","M-Systems TrueFFS Port Driver"
"tfsfltdrv","TEC Solutions OCular Agent Filter Driver"
"tfsnboio","Sonic Drive Letter Access Component"
"tfsncofs","Sonic Drive Letter Access Component"
"tfsndrct","Sonic Drive Letter Access Component"
"tfsndres","Sonic Drive Letter Access Component"
"tfsnifs","Sonic Drive Letter Access Component"
"tfsnopio","Sonic Drive Letter Access Component"
"tfsnpool","Sonic Drive Letter Access Component"
"tfsnudf","Sonic Drive Letter Access Component"
"tfsnudfa","Sonic Drive Letter Access Component"
"tgbvpn","TheGreenBow VPN IPsec Filter Driver"
"tgiul50","Trident Video Miniport Driver"
"tgiulnt5","Trident Video Miniport Driver"
"thdudf","TOSHIBA UDF2.5 Reader Fiel System Driver"
"thpdrv","TOSHIBA HDD Protection Driver"
"Thpevm","TOSHIBA HDD Protection Driver"
"ti21sony","Texas Instruments PCI Integrated FlashMedia"
"ticap","!!! PSP: SMART-SOFT Traffic Inspector !!!"
"tifiole","*** UNKNOWN - PLEASE PULL BACK ***"
"tifm21","Texas Instruments Ultramedia"
"tifmsony","Texas Instruments PCIxx20 UltraMedia Driver"
"tifsfilt","Acronis TrueImage File System Filter"
"timer","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"timntr","Acronis TrueImage Monitor"
"TiNG_P1V1_5","Aculab Prosody PCI Card Support Driver"
"TiNGhigh","Aculab Generic Prosody PCI Card Driver"
"Tiny","Tiny Dongle Driver"
"tiumflt","TI UltraMedia CardBus Controller Filter Driver"
"tlingr","*** UNKNOWN - PLEASE PULL BACK ***"
"TM_CFW","!!! PSP: TrendMicro Common Firewall !!!"
"tm_cfw","!!! PSP: TrendMicro OfficeScan !!!"
"tmactmon","!!! PSP: TrendMicro OfficeScan !!!"
"tmcomm","!!! PSP: TrendMicro Common Firewall !!!"
"tmdrv","*** UNKNOWN - PLEASE PULL BACK ***"
"TMEI3E","TOSHIBA Mobile Extension Driver"
"TMETER","!!! PSP: TrafficReg TMeter Traffic Monitor !!!"
"TMeter","!!! PSP: TrafficReg TMeter Traffic Monitor !!!"
"tmevtmgr","!!! PSP: TrendMicro OfficeScan !!!"
"TmFilter","!!! PSP: TrendMicro OfficeScan !!!"
"TMFilter","!!! PSP: TrendMicro OfficeScan !!!"
"tmpreflt","!!! PSP: TrendMicro OfficeScan !!!"
"TmPreFlt","!!! PSP: TrendMicro OfficeScan !!!"
"tmtdi","!!! PSP: TrendMicro OfficeScan !!!"
"TmXPFlt","!!! PSP: TrendMicro OfficeScan !!!"
"tmxpflt","!!! PSP: TrendMicro OfficeScan !!!"
"tnbg_lto","Tandberg Data LTO Driver"
"tnesahs","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"tonesnt","Conexant SoftK TonesNT Driver"
"TOS_SPS","TOSHIBA SPS Driver"
"tos_sps32","TOSHIBA TOS-SPS32 Service Driver"
"toside","TOSHIBA PCI IDE Controller"
"tosporte","TOSHIBA Bluetooth Port Emulation Driver"
"tosrfbd","TOSHIBA Bluetooth RF Bus Driver"
"tosrfbnp","TOSHIBA Bluetooth RF BNEP Driver"
"tosrfcom","TOSHIBA Bluetooth RFCOMM Driver"
"tosrfec","TOSHIBA Bluetooth EC Driver"
"Tosrfhid","TOSHIBA Bluetooth HID Driver"
"tosrfnds","TOSHIBA Bluetooth BNEP Driver"
"tosrfusb","TOSHIBA Bluetooth USB Miniport Driver"
"tossmbnt","TOSHIBA SMB NT Driver"
"TotRec7","HighCriteria Total Recorder WDM Audio Driver"
"tp4track","IBM PS/2 TrackPoint Mouse Filter Driver"
"tpacket","TEC Solutions OCular TPacket Network Driver"
"tpfilter","Symantec MDM SCSI Capture Engine"
"TPHKDRV","IBM ThinkPad Hotkey Driver"
"TPIoMngr","Compal IoManager Application"
"Tpkd","PACE Anti-Piracy InterLock Software"
"tpm","Microsoft TPM Device Driver"
"TPPORT","Microsoft TestPoint Port I/O Driver"
"Tppwr","IBM ThinkPad Power Management Driver"
"Tppwrif","IBM ThinkPad Power Management Driver"
"TPwSav","TOSHIBA Power Saver IO Driver"
"trarsc","*** UNKNOWN - PLEASE PULL BACK ***"
"trid3d","VIA Trident KLE/PLE Display Driver"
"trid3dm","VIA Trident KLE/PLE Miniport Driver"
"tridxp4","Trident Video Accelerator Driver"
"tridxp4m","Trident Video Accelerator Driver"
"TRIEDIT","*** SIG18 - FOLLOW GUIDANCE ***"
"trm3x5","Tekram PCI-SCSI Host Adapter Driver"
"trm3x5","Tekram PCI-SCSI Host Adapter Miniport Driver"
"trudf","TOSHIBA Direct Disc Writer Driver"
"truecrypt","TrueCrypt Driver"
"trufos","!!! PSP: 360 Antivirus !!!"
"Trufos","!!! PSP: BitDefender Internet Security !!!"
"tscomm","TamoSoft CommStudio Driver"
"TSDDD","Microsoft Framebuffer Display Driver"
"tsdhd","TOSHIBA SD Card Driver"
"tshd4_kern_i386","SRS Audio Sandbox Driver"
"TSKNF501","!!! PSP: IARSN TaskInfo Monitor !!!"
"TSKNF602","!!! PSP: IARSN TaskInfo Monitor !!!"
"TSKSP","TENCENT QQ IM Driver"
"TSMAPIP","IBM ThinkPad Configuration"
"tsmlvsa","IBM Tivoli Storage Manager"
"tssecsrv","Microsoft TS Security Filter Driver"
"TSSysKit","!!! PSP: Tencent QQ Computer Manager (QQDoctor) !!!"
"TSV4WEX","*** UNKNOWN - PLEASE PULL BACK ***"
"tsxt_kern_i386","SRS Labs TruSurround XT Kernel DLL"
"TSysCare","!!! PSP: Tencent QQ Doctor Web Security !!!"
"TSysDrv","TEC Solutions OCular TSysDrv Driver"
"ttm6010","Beholder BDA Driver for Trident TM6010"
"ttndsbda","TechnoTrend Virtual BDA DVB Network Adapter Driver"
"ttusb2bda","TechnoTrend BDA-USB Capture and Tuner Driver"
"ttv300x","TOSHIBA PCI TV Tuner Driver"
"TUKERNEL","!!! TuneUp Utilities Kernel Driver !!!"
"TuneUpUtilitiesDriver32","!!! TuneUp Utilities Driver !!!"
"tunmp","Microsoft Tunnel Interface Driver"
"tunnel","Microsoft Tunnel Interface Driver"
"turboio","Vireo VToolsD Turbo I/O Driver"
"TVALD","TOSHIBA ACPI-Compliant Value Added Logical Device Driver"
"TVALG","TOSHIBA Value Added Logical & General Purpose Driver"
"TVALZ","TOSHIBA Common Modules Device Driver"
"TVALZ_O","TOSHIBA ACSI-Based VAL & General Purpose Driver"
"TVALZFL","TOSHIBA TVALZ Filter Driver"
"TVicHW32","Entech Taiwan TVicHW32 4.0 Generic Device Driver"
"TVMonitor","TeamViewer Monitor Driver"
"Tvs","TOSHIBA Audio Filter Driver"
"tvtfilter","Lenovo Rescue and Recovery Filter Driver"
"Tvti2c","Lenovo ThinkVantage SMBus Package Driver"
"tvtpktfilter","Lenovo Antidote Miniport Filter Driver"
"tvtumon","Lenovo Rescue and Recovery Win Update Mon Driver"
"twexport","Citrix Access Essentials Driver"
"TWGGrab","IBM Director Driver"
"TWGSYSIN","IBM Director Driver"
"twintail","IBM Netfinity ServeRAID Controller Driver"
"TwoTrack","IBM PS/2 TrackPoint Mouse Filter Driver"
"tws_cpro","*** UNKNOWN - PLEASE PULL BACK ***"
"twscpm","*** UNKNOWN - PLEASE PULL BACK ***"
"ty102p","Tianyu USB 102 PC/SC Reader Service"
"u1pvcbs","SONY USB Camera Driver"
"u1pvccd","SONY USB Camera Driver"
"u1pvcsm","SONY USB Camera Driver"
"U3sHlpDr","USB Flash Memory Password Utility"
"U3SHLPDR200","Sandisk U3 USB Device Driver"
"uagp35","Microsoft AGPv3.5 Filter Driver"
"UBHelper","NTI CD & DVD-Maker Driver"
"UCTblHid","HID Tablet Filter Driver for Win2000/XP"
"UdDrv","Executive Software Undelete Filter Driver"
"udffsrec","Microsoft UDF File System Recognizer Driver"
"UdFilter","Diskeeper Undelete FileSystem Mini-Filter Driver"
"UdfReadr","CD-UDF NT Filesystem Reader Driver"
"UdfReadr_xp","CD-UDF NT Filesystem Reader Driver"
"Udfs","Microsoft UDF File System Driver"
"UDSTDrv","Twinhan Software Driver"
"uhcd","Microsoft USB Universal Host Controller Driver"
"Uim_IM","Paragon UIM Drive Backup Image Plugin"
"UimBus","Universal Image Mounter Controller"
"UimFIO","Universal Image Mounter Controller"
"ULCDRHlp","Ulead CD/DVD Burning Engine Driver"
"uliagpkx","ULi Accelerated Graphics Port (AGP) Bus Filer Driver"
"ulkgghg","*** UNKNOWN - PLEASE PULL BACK ***"
"ulm","HP AutoPATH/SecurePATH ULM Service Driver"
"UlSata","Promise Ultra/Sata Series Driver"
"ulsata2","Promise SATAII 150 Series x64 Windows Driver"
"ultra","Promise Ultra Series Driver"
"ultra66","Promise Ultra66 Miniport Driver"
"umbus","Microsoft User-Mode Bus Enumerator Driver"
"umpusbxp","Texas Instruments UMP USB Device Driver"
"UnlockerDriver5","Unlocker Software Driver"
"Update","Microcode Update Driver"
"updsm","HP UltraPATH MultiPath Driver"
"uphcleanhlp","MS User Profile Hive Cleaner Helper Driver"
"ups2501_XP","Mega Inc. Dry-contact UPS Driver"
"ureader","BDTECH eSafe Reader Driver"
"urlmon","Microsoft OLE32 Extensions DLL"
"urvpndrv","F5 Networks VPN Adater Driver"
"Usb2Fsd","Usb2 File System Driver"
"usb8023","Microsoft Remote NDIS USB Driver"
"usb8023x","Microsoft Remote NDIS USB Driver"
"usbaapl","Apple iTunes Software Driver"
"usbaudio","Microsoft USB Audio Driver"
"usbbc2","Prolific High-Speed USB-USB Bridge Cable Driver"
"usbblstr","FTDI Bus USB Driver"
"USBCAMD","Microsoft USB Camera Driver"
"USBCAMD2","Microsoft USB Camera Driver"
"usbccgp","Microsoft USB Common Class Generic Parent Driver"
"usbccid","Microsoft USB CCID Driver"
"usbccpg","USB Common Class Generic Parent Driver"
"usbcir","USB Consumer IR Driver for eHome"
"usbd","Universal Serial Bus Driver"
"UsbdpFP","DigitalPersona USB Fingerprint Reader Driver"
"usbehci","Microsoft USB Driver"
"usbfilter","AMD USB Filter Driver"
"UsbFlt","*** UNKNOWN - PLEASE PULL BACK ***"
"usbhub","Microsoft USB Standard Hub Driver"
"usbhub20","Tyan USB Driver"
"usbhubrg","*** POSSIBLE SIG - SEEK HELP ASAP ***"
"usbhubxp","*** UNKNOWN - PLEASE PULL BACK ***"
"usbic1k","OEM USB SmartCard Reader Driver"
"usbic2k","OEM USB SmartCard Reader Driver"
"USBKey","Beijing Infosec Corp. USBKey Module"
"usblock","Beijing Senselock USB Lock WDM Driver"
"usbmicd","Hercules Audio Muse Pocket USB Driver"
"usbohci","Microsoft USB Driver"
"USBPORT","Intel USB Driver"
"usbprint","Microsoft USB Driver"
"usbrpm","Windows USB Redirection Policy Manager"
"usbscan","Microsoft USB Scanner Driver"
"usbser","Windows USB Modem System Driver"
"usbser_lowerflt","Nokia Connectivity Cable Driver"
"usbser_lowerfltj","Nokia Connectivity Cable Driver"
"USBSTOR","USB Mass Storage Driver"
"usbubci","*** UNKNOWN - PLEASE PULL BACK ***"
"usbuhci","MS USB Universal Host Controller Miniport Driver"
"usbvideo","Microsoft USB Video Driver"
"usbVM303","Vimicro Video Streaming and Capture Device Driver"
"usbVM31b","VM USB PC Camera Video Capture Device Driver"
"usbvm321","Vimicro VM321 Video Driver"
"usbwmac","Stollmann TA+USB WAN Miniport Driver"
"user32","Microsoft Windows User API"
"userdump","Microsoft User Dump Service Driver"
"UserPort","Windows UserPort Kernel Mode Driver"
"usp10","Uniscribe Unicode Script Processor"
"USR_BSC2","Conexant SoftK56 Modem Driver"
"USR_MDM","Conexant SoftK56 Modem Driver"
"USR_MDMV","Conexant SoftK56 Modem Driver"
"Usr_xp","U.S. Robotics 10/100/1000 PCI NIC Driver"
"USR1806","U.S. Robotics 56K Modem Driver"
"utixndey","!!! PSP: AVZ Antiviral Tookit !!!"
"utm5mjux","!!! PSP: AVZ Antiviral Tookit !!!"
"UVCFTR_S","Chicony USB 2.0 Camera Driver"
"uxlhe","*** UNKNOWN - PLEASE PULL BACK ***"
"uze2ndi5","!!! PSP: AVZ Antiviral Tookit !!!"
"uze3mjk3","!!! PSP: AVZ Antiviral Tookit !!!"
"uzexmtm2","!!! PSP: AVZ Antiviral Tookit !!!"
"uzeyotg2","!!! PSP: AVZ Antiviral Tookit !!!"
"uzg5mjay","!!! PSP: AVZ Antiviral Tookit !!!"
"uzi2ndmx","!!! PSP: AVZ Antiviral Toolkit !!!"
"uzi3ndu1","!!! PSP: AVZ Antiviral Tookit !!!"
"uzi4odkw","!!! PSP: AVZ Antiviral Tookit !!!"
"uzm3nje2","!!! PSP: AVZ Antiviral Tookit !!!"
"uzmymjk3","!!! PSP: AVZ Antiviral Toolkit !!!"
"uzq0nze3","!!! PSP: AVZ Antiviral Tookit !!!"
"uzqymzkx","!!! PSP: AVZ Antiviral Tookit !!!"
"V0420Vid","Creative Video Capture Device Driver"
"v124nt","Conexant SoftK V124NT Driver"
"V2IMount","Symantec Ghost Image Mounting Device Driver"
"v2imount","Symantec Ghost Image Mounting Device Driver"
"v3engine","!!! PSP: AhnLab V3 Internet Security !!!"
"V3Flt2K","!!! PSP: AhnLab V3 Internet Security !!!"
"V3IFt2K","!!! PSP: AhnLab V3 Internet Security !!!"
"V7","IBM V7 Driver for Windows NT/2000"
"vadapter","Avaya VPNet Virtual Adapter Driver"
"vap","Deterministic WAN Virtual Adapter Miniport Driver"
"Vax347b","Plug and Play BIOS Extension"
"Vax347s","Virtual SCSI Miniport Driver"
"vaxscsi","Alcohol Soft SCSI Miniport Driver"
"vbev5mp","H+H Virtual CD Driver"
"VBM_NTOSKRNL","GraphOn GO-Global Server Driver"
"VBM_WIN32K","GraphOn GO-Global Server Driver"
"VBoxDD2R0","Oracle VirtualBox Support Driver"
"VBoxDDR0","Oracle VirtualBox Support Driver"
"VBoxDisp","Oracle VM VirtualBox Graphics Adapter Driver"
"VBoxDrv","Sun VirtualBox Support Driver"
"VBoxGuest","Oracle VM VirtualBox Guest Additions Driver"
"VBoxMouse","Oracle VM VirtualBox Mouse Filter Driver"
"VBoxNetAdp","VirtualBox Host-Only Network Adapter Driver"
"VBoxNetFlt","Sun VirtualBox Host Interface Networking Driver"
"VBoxSF","Oracle VM VirtualBox Shared Folders Minirdr Driver"
"VBoxTAP","Sun VirtualBox Host Interface Networking Driver"
"VBoxUSBMon","Sun VirtualBox USB Monitor Driver"
"VBoxVideo","Oracle VM VirtualBox Video Driver"
"vbtenum","Bluetooth HID Enumerator"
"VCdRom","Microsoft Virtual CD-ROM Device Driver"
"Vchnt5","Intel Local Flat Panel Display Minidriver"
"VClone","Elby VirtualCloneCD Driver"
"VComm","IVT Bluetooth Virtual COM Driver"
"VcommMgr","IVT Bluetooth VComm Manager Driver"
"vcsvad","Avnex Virtual Audio Device Driver"
"VD_FileDisk","Flint Inc. Virtual Disk-FileSystem Plugin"
"VdCap03C","USB2.0 Web Camera Driver"
"vdev","Compuware NuMega Driver Networks Driver"
"vdk","Ken Kato Virtual Disk Driver for Windows"
"vdminfs","*** UNKNOWN - PLEASE PULL BACK ***"
"vdrv1000","H+H Software Virtual CD Driver"
"vdrv7000","H+H Virtual CD Driver"
"VDRV9000","H+H Software Virtual CD Driver"
"vdrv9000","H+H Virtual CD Driver"
"vdrvroot","Microsoft Virtual Drive Root Enumerator"
"vdtw30","Citrix ICA Virtual Channel Driver"
"VeeamFSR","Veeam Virtual File System Backup Driver"
"veteboot","!!! PSP: Computer Associates !!!"
"vetefile","!!! PSP: Computer Associates !!!"
"vetfddnt","!!! PSP: Zone Alarm/Computer Associates !!!"
"vet-filt","!!! PSP: Zone Alarm/Computer Associates !!!"
"vetmonnt","!!! PSP: Zone Alarm/Computer Associates !!!"
"vet-rec","!!! PSP: Zone Alarm/Computer Associates !!!"
"vfd[1]","*** UNKNOWN - PLEASE PULL BACK ***"
"vfilter","Shrew Soft IPSec VPN Client"
"vfsfd","VIA File System Filter Driver"
"VFSUSB","Veridicom USB Driver"
"vga","Microsoft VGA/SVGA Display Driver"
"vga2k","*** UNKNOWN - PLEASE PULL BACK ***"
"vgapnp","Microsoft VGA/Super VGA Video Driver"
"VgaSave","VgaSave"
"vgx","*** SIG18 - FOLLOW GUIDANCE ***"
"vhdbus","Microsoft Virtual Server Storage Bus Driver"
"vhdparser","Microsoft Hyper-V Virtual Server Driver"
"vhdstor","Microsoft Virtual Server Storage Device Driver"
"VHIDMini","Microsoft Virtual HID Device Driver"
"viaagp","VIA NT AGP Filter"
"viaagp1","VIA Tech CPU to AGP Controller Filter Driver"
"viac7","*** SENTRYTRIBE MENTAL ***"
"viahdb","Microsoft VIA High Definition Audio Driver"
"viahduaa","VIA High Definition Audio Function Driver"
"viaide","Generic IDE PCI Bus Driver"
"viaidexp","VIA Generic PCI IDE Bus Driver"
"viaio","*** UNKNOWN - PLEASE PULL BACK ***"
"viaipem","*** UNKNOWN - PLEASE PULL BACK ***"
"viamraid","VIA RAID Driver"
"vianet","*** UNKNOWN - PLEASE PULL BACK ***"
"viapci","VIA VT6420 V-RAID Driver"
"viapdsk","VIA VT4149 PATA Bus Master IDE Driver"
"VIAPFD","VIA PFD Driver"
"viaraid","VIA VT6410 RAID Miniport Driver"
"viasraid","VIA Serial ATA RAID Controller Driver"
"viaudio","VIA AC'97 Enhanced Audio WDM Driver"
"viaudios","VIA AC'97 Enhanced Audio WDM Driver"
"viauios","*** UNKNOWN - PLEASE PULL BACK ***"
"viausb","VIA USB Filter Driver"
"ViBus","VIA SATA IDE Driver"
"VICHW00","TVicHW32 VCL Direct Port I/O Driver"
"VICHW11","P&E BDM Cable Driver II"
"Vid","Microsoft Virtual Machine Additions Driver"
"videfd","VIA IDE Filter Driver"
"Video3D32","ASUS Video3D Driver"
"videoprt","Video Port Driver"
"videX32","VIA Generic PCI IDE Bus Driver"
"vinyl97","VIA Vinyl AC'97 Codec Combo WDM Driver"
"ViPrt","VIA SATA IDE Driver"
"VirtFile","Symantec Backup Exec Windows Driver"
"VirtualNet","Shrew Soft Virtual Network Adapter Driver"
"vm7133","VidzMedia TV Tuner Driver"
"vmaudio","VMware Audio Adapter Driver"
"vmbus","Microsoft Virtual Machine Bus Driver"
"VMBusHID","Microsoft VMBus HID Miniport Driver"
"VMBusVideoD","Microsoft VMBus Video Device Display Driver"
"VMBusVideoM","Microsoft VMBus Video Device Miniport Driver"
"vmci","VMware PCI VMCI Bus Device"
"vmcu","VMware PCI VMCI Bus Device Driver"
"vmdebug","VMware Replay Debugging Driver"
"vmdesched","VMware Descheduled Time Accounting Service"
"vmfilter303","Vimicro Filter Driver for VM303 with Face Tracking"
"vmhgfs","VMware HGFS File System Driver"
"VMkbd","VMware Keyboard Filter Driver"
"vmm","Microsoft Virtual Machine Monitor"
"vmm32","*** DARKSKYLINE MENTAL ***"
"vmmemctl","VMware Server Memory Controller"
"vmmouse","VMware Pointing Device"
"VMMR0","Oracle VirtualBox Support Driver"
"VMNET","VMware Virtual Network Driver"
"VMnetAdapter","VMware Virtual Ethernet Adapter Driver"
"VMnetBridge","VMware Bridge Protocol"
"VMNetSrv","Virtual Machine Network Services Driver"
"vmnetuserif","VMware Network Application Interface Driver"
"vmodem","PCTEL HSP Modem Device Driver"
"VMparport","VMware Parallel Port Driver"
"vmPhTune","VidzMedia TV Tuner Driver"
"VMRawdsk","VMWare Raw Disk Helper Driver"
"vms3cap","Microsoft S3 Emulated Device Cap Driver"
"vmscsi","VMware SCSI Driver"
"vmsrvc","Microsoft Virtual Machine Additions Driver"
"vmstorfl","Microsoft Virtual Storage Filter Driver"
"vmswitch","Microsoft Virtual Machine Additions Driver"
"vmusb","VMware USB Client Driver"
"vmwvusb","VMware View Generic USB Driver"
"vmx_fb","VMware SVGA II Display Driver"
"vmx_svga","VMware SVGA Display Driver"
"vmx86","VMware GSX Server Kernel Driver"
"vmxnet","VMware Ethernet Adapter Driver"
"vmxnet3n51x86","VMware PCIe Ethernet Adapter Driver"
"vna","Check Point Virtual Network Adapter Driver"
"vnasc","Check Point Virtual Network Adapter Driver"
"vnccom","RDV Soft VNC Communication"
"vncdrv","Microsoft UltraVnc Mirror Driver"
"vnchelp","RDV Soft UltraVnc Kernel"
"vncmirror","RealVNC Mirror Miniport Driver"
"volmgr","Microsoft Volume Manager Driver"
"volmgrx","Microsoft Volume Manager Extension Driver"
"volrec","*** SALVAGERABBIT ***"
"volsnap","Volume Shadow Copy Driver"
"vp1000","TeraRecon VolumePro 1000 Driver"
"vpc-8042","Microsoft Virual Machine Additions Driver"
"vpchbus","Microsoft Virtual PC Host Bus Service"
"vpcnfltr","Microsoft Virtual PC Network Filter Driver"
"vpc-s3","Microsoft Virtual Machine Additions Driver"
"vpctcom","PCTEL HSP Modem Virtual Control Device Driver"
"vpcusb","Microsoft Virtual USB Connector Driver"
"vpcvmm","Microsoft Virtual PC Virtual Machine Monitor"
"vpn","Check Point Software VPN-1 Module Driver"
"vpnfilter","Cisco ASA 5520 Client VPN Filter Driver"
"vpnpcap","*** UNKNOWN - PLEASE PULL BACK ***"
"VPPP","DrayTek VPPP NDIS WAN/TAPI Miniport Driver"
"vpscr","MMVSC Virtual Smart Card Reader Driver"
"vqzxbkfy","*** UNKNOWN - PLEASE PULL BACK ***"
"VRADFIL","!!! PSP: HAURI ViRobot Desktop !!!"
"VRcore","!!! PSP: The Shield Antivirus !!!"
"vregstr","*** VALIDATOR ***"
"VRFIL","!!! PSP: The Shield Antivirus !!!"
"vrvaud_c","!!! PSP: North Source VRV Antivirus !!!"
"VRVD302","Rsupport Virtual Remote Video Driver"
"VrvFw","!!! PSP: North Source VRV Antivirus !!!"
